id,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,AverageOfUpperTRange,RainingDays,fruitset,fruitmass,seeds,yield
0,25,0.5,0.38,0.5,0.75,94.6,79,24,0.425493214,0.42018755,31.60733169,4947.60566
1,12.5,0.25,0.25,0.38,0.63,77.4,64.7,24,0.547743879,0.460369104,37.29886067,6752.01695
2,25,0.5,0.38,0.5,0.63,77.4,64.7,24,0.494677622,0.44252903,35.17991165,5773.00842
3,25,0.5,0.38,0.5,0.5,77.4,64.7,24,0.490016595,0.449545727,35.59821657,5496.08506
4,12.5,0.25,0.38,0.63,0.5,86,71.9,24,0.598645112,0.495006371,41.61500537,7004.01554
5,25,0.5,0.25,0.38,0.5,77.4,64.7,34,0.464368945,0.436865942,32.81196654,5291.89688
6,12.5,0.25,0.25,0.38,0.63,86,71.9,16,0.572725923,0.481349777,41.8226933,7222.00462
7,12.5,0.25,0.25,0.38,0.25,94.6,79,16,0.477778535,0.424728104,34.17462527,5446.69747
8,25,0.5,0.25,0.5,0.63,77.4,64.7,24,0.490016595,0.448256199,35.61618557,5970.68186
9,25,0.5,0.25,0.38,0.75,86,71.9,34,0.424574228,0.402105764,31.66559817,4546.78674
10,25,0.5,0.38,0.5,0.75,77.4,64.7,1,0.529163709,0.461179325,37.74750888,6683.20061
11,12.5,0.25,0.25,0.25,0.63,86,71.9,16,0.579981861,0.482859526,39.8226933,7181.42522
12,25,0.25,0.25,0.63,0.5,77.4,64.7,1,0.450102564,0.41951938,33.16394425,4966.77945
13,25,0.5,0.38,0.38,0.75,94.6,79,16,0.566719686,0.463152392,37.81761708,6412.47345
14,25,0.5,0.25,0.38,0.63,86,71.9,24,0.435965493,0.407126353,30.5255093,4282.70063
15,25,0.5,0.38,0.5,0.5,77.4,64.7,34,0.402052391,0.408851197,30.27510191,4200.97375
16,25,0.5,0.38,0.38,0.63,86,71.9,34,0.402052391,0.419720202,32.34445707,4684.89321
17,25,0.5,0.38,0.63,0.5,86,71.9,34,0.421629852,0.424609234,33.66987505,4576.10071
18,12.5,0.25,0.25,0.63,0.63,86,71.9,24,0.463097152,0.428118259,32.41787171,5345.99106
19,25,0.5,0.38,0.5,0.63,77.4,64.7,16,0.595052932,0.492809568,41.94865711,7570.48492
20,25,0.5,0.38,0.5,0.75,86,71.9,24,0.439101795,0.418732102,33.23244939,4975.88538
21,25,0.25,0.25,0.25,0.25,77.4,64.7,1,0.450102564,0.433737787,33.4416065,4966.77945
22,12.5,0.25,0.25,0.5,0.5,77.4,64.7,1,0.570329618,0.480580564,39.8226933,6901.65894
23,25,0.5,0.25,0.38,0.75,86,71.9,24,0.44371199,0.425245072,33.4416065,5199.53404
24,12.5,0.25,0.25,0.25,0.75,94.6,79,16,0.498696418,0.443962193,35.64822051,6254.65511
25,12.5,0.25,0.25,0.63,0.5,69.7,58.2,24,0.559765655,0.455453173,38.17659701,6638.65649
26,25,0.5,0.38,0.75,0.75,86,71.9,34,0.46274257,0.432109831,34.02922281,5399.86113
27,12.5,0.25,0.25,0.63,0.5,94.6,79,16,0.583697575,0.488638858,40.28237595,7163.9441
28,12.5,0.25,0.25,0.75,0.75,77.4,64.7,1,0.538393093,0.462760521,37.90850822,6731.71221
29,12.5,0.25,0.25,0.63,0.63,86,71.9,34,0.449875425,0.424394344,33.94201411,5330.06203
30,25,0.5,0.38,0.63,0.5,69.7,58.2,24,0.46274257,0.394461774,33.79678871,5455.11891
31,25,0.5,0.38,0.5,0.75,94.6,79,24,0.458246439,0.426240102,33.07391322,5834.98164
32,25,0.5,0.38,0.5,0.63,86,71.9,1,0.570329618,0.453028369,36.68541263,6397.35569
33,25,0.5,0.38,0.38,0.75,77.4,64.7,34,0.483249032,0.447536765,35.55753695,5360.87391
34,12.5,0.25,0.38,0.38,0.63,69.7,58.2,24,0.576469662,0.476588872,39.18675925,7235.77564
